adminDistrict,lat,lng,,
Catalonia,Barcelona,08019,41.4115753173828,2.21456599235535
Galicia,Province of A Coruña,15003,43.3711318969727,-8.40194511413574
Community of Madrid,Madrid,28015,40.4312515258789,-3.71114492416382
Galicia,Oleiros,15176,43.3231239318848,-8.3399543762207
Galicia,Oleiros,15176,43.3231239318848,-8.3399543762207
Community of Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Galicia,Mugardos,15620,43.4521560668945,-8.2631721496582
Galicia,Province of A Coruña,15008,43.3305702209473,-8.41056346893311
Galicia,Province of A Coruña,15010,43.3662490844727,-8.44391441345215
Galicia,Oleiros,15177,43.3849983215332,-8.32616329193115
Galicia,Oleiros,15173,43.3366355895996,-8.31683158874512
Galicia,A Baiuca,15142,43.3131713867188,-8.50944042205811
Galicia,Province of A Coruña,15003,43.3711318969727,-8.40194511413574
Galicia,Province of A Coruña,15001,43.3708992004395,-8.39401912689209
Galicia,Oleiros,15176,43.3231239318848,-8.3399543762207
Galicia,Province of A Coruña,15001,43.3708992004395,-8.39401912689209
Community of Madrid,Madrid,28015,40.4312515258789,-3.71114492416382
Community of Madrid,Madrid,28026,40.3834915161133,-3.7041609287262
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Galicia,Cambre,15660,43.2972946166992,-8.34405040740967
Galicia,Province of A Coruña,15011,43.3711128234863,-8.42138481140137
Galicia,Oleiros,15176,43.3231239318848,-8.3399543762207
Galicia,Mugardos,15620,43.4521560668945,-8.2631721496582
Basque Country,Bilbao,48006,43.2567710876465,-2.91646695137024
Galicia,Culleredo,15174,43.3105659484863,-8.39894866943359
Andalusia,Seville,41010,37.3815307617188,-6.00859022140503
Galicia,Province of A Coruña,15008,43.3305702209473,-8.41056346893311
Galicia,Province of A Coruña,15008,43.3305702209473,-8.41056346893311
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Principality of Asturias,Piedras Blancas,33450,43.568733215332,-5.97445392608643
Galicia,Province of A Coruña,15011,43.3711128234863,-8.42138481140137
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Community of Madrid,Madrid,28011,40.4235000610352,-3.75406408309937
Galicia,Culleredo,15174,43.3105659484863,-8.39894866943359
Galicia,Cambre,15660,43.2972946166992,-8.34405040740967
Community of Madrid,Leganés,28915,40.3346176147461,-3.75257992744446
Vysočina,undefined,49.434268951416,15.0011100769043,
Galicia,Province of A Coruña,15007,43.3543014526367,-8.41149997711182
Andalusia,Seville,41011,37.3511810302734,-6.00768518447876
Community of Madrid,Madrid,28026,40.3834915161133,-3.7041609287262
Galicia,Province of A Coruña,15004,43.3656044006348,-8.40896606445312
Community of Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Galicia,Province of A Coruña,15009,43.339469909668,-8.39374542236328
Community of Madrid,Madrid,28013,40.4186401367188,-3.70969009399414
Galicia,Province of A Coruña,15005,43.361400604248,-8.41011905670166
Community of Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Community of Madrid,Madrid,28050,40.5017395019531,-3.66247010231018
Galicia,Culleredo,15174,43.3105659484863,-8.39894866943359
Community of Madrid,Vaciamadrid,28521,40.3421401977539,-3.50360703468323
Community of Madrid,Madrid,28055,40.491886138916,-3.62057995796204
Galicia,Province of A Coruña,15009,43.339469909668,-8.39374542236328
Community of Madrid,Madrid,28037,40.4303703308105,-3.6245698928833
Community of Madrid,Madrid,28026,40.3834915161133,-3.7041609287262
Community of Madrid,Boadilla del Monte,28660,40.4161605834961,-3.92962408065796
Community of Madrid,Vaciamadrid,28521,40.3421401977539,-3.50360703468323
Community of Madrid,Madrid,28026,40.3834915161133,-3.7041609287262
